Tom's here.	Tom er her.
It's not very durable.	Det er ikke ret holdbart.
Birds make their nests in trees.	Fugle bygger reder i træer.
They had little fuel for heating and cooking.	De havde lidt brændstof til opvarmning og madlavning.
Will you go out with me?	Vil du gå ud med mig?
Tom has a driver's license.	Tom har kørekort.
I have to write a letter.	Jeg er nødt til at skrive et brev.
I'm faster than you.	Jeg er hurtigere end dig.
This movie is worth seeing.	Denne film er værd at se.
Not all birds can fly.	Ikke alle fugle kan flyve.
Do you like my hair?	Kan du lide mit hår?
How long have you been living out of a suitcase?	Hvor længe har du boet i en kuffert?
I don't even know if Tom has a girlfriend.	Jeg ved ikke engang om Tom har en kæreste.
I didn't even know you had a horse.	Jeg vidste ikke engang at du havde en hest.
Tom has a twin brother named John.	Tom har en tvillingbror som hedder John.
Look what I've found.	Se hvad jeg har fundet.
I am reading a book.	Jeg er ved at læse en bog.
There are five apples in this box.	Der er fem æbler i denne kasse.
I've waited all my life for this day.	Jeg har ventet hele livet på denne dag.
I don't like that idea.	Jeg kan ikke lide den ide.
Tom actually took the time to talk to us.	Tom tog sig faktisk tid til at tale med os.
She is a fox.	Hun er en sild.
I'm taller than him.	Jeg er højere end ham.
She painted the wall pink.	Hun malede muren pink.
She is a singer.	Hun er sanger.
I love the sound of wind chimes.	Jeg elsker lyden af vindspil.
He is poor, but happy.	Han er fattig men lykkelig.
Tom is dumbfounded.	Tom er lamslået.
Tom pointed at the empty glass on the bar.	Tom pegede på det tomme glas på bardisken.
October 20th is a Monday.	Den 20. oktober er en mandag.
He gives an apple to the teacher every day.	Han giver læreren et æble hver dag.
Tom makes more money than I do.	Tom tjener flere penge end mig.
We must find them.	Vi må finde dem.
This morning the telephone woke me up.	I morges vækkede telefonen mig.
They studied English yesterday.	De studerede engelsk i går.
It is uncertain whether he is coming or not.	Det er usikkert om han kommer eller ej.
He likes all animals except horses.	Han kan lide alle dyr bortset fra heste.
Is it red?	Er det rødt?
You are hopeless.	Du er håbløs.
Do you have a reservation?	Har I en reservation?
What time did you get up this morning?	Hvornår stod du op i morges?
Tom is too honest a boy to tell a lie.	Tom er en dreng der er for ærlig til at lyve.
Think about it.	Tænk over det!
It's not a pipe dream.	Det er ikke et luftkastel.
I took two aspirin for my headache.	Jeg tog to aspirintabletter for min hovedpine.
There's room for improvement.	Der er plads til forbedringer.
Show me your documents.	Vis mig dine dokumenter.
I can't believe this is really happening.	Jeg kan ikke tro at det her virkelig sker.
The machine takes a lot of room.	Den maskine tager meget plads.
He's somewhere in the park.	Han er et sted i parken.
The mouse was lured into the trap by a big piece of cheese.	Musen blev lokket ind i fælden med et stort stykke ost.
Don't you know how beautiful you are?	Ved du ikke hvor smuk du er?
There are no pyramids in Europe.	Der er ingen pyramider i Europa.
I love the smell of coffee in the morning.	Jeg elsker lugten af kaffe om morgenen.
He knows a lot of people.	Han kender mange mennesker.
Tom lost his car keys.	Tom mistede sine bilnøgler.
My mother has a driver's license, but she doesn't drive a car.	Min mor har kørekort, men hun kører ikke bil.
Tom served 30 years for second degree murder.	Tom afsonede 30 år for bevidst uagtsomt manddrab.
Wood burns.	Træ brænder.
He wishes to live his own way.	Han ønsker at leve på sin måde.
Tom is a handsome guy.	Tom er en flot fyr.
They built it.	De byggede det.
Tom didn't invite me.	Tom inviterede mig ikke.
I do not know this lady.	Jeg kender ikke den dame.
I can peel an apple.	Jeg kan skrælle et æble.
I play tennis every day.	Jeg spiller tennis hver dag.
You have to obey your parents.	Du skal adlyde dine forældre.
We don't need a ladder.	Vi har ikke brug for en stige.
Tom asked me to do this.	Tom bad mig om at gøre dette.
Please turn down the volume.	Skru ned for lyden.
We eat raw fish.	Vi spiser rå fisk.
I was there yesterday.	Jeg var der i går.
My doctor told me that I should drink more water.	Min læge sagde til mig at jeg skulle drikke mere vand.
Iron is harder than gold.	Jern er hårdere end guld.
I'm better.	Jeg er bedre.
Tom has a strange way of talking.	Tom har en mærkelig måde at tale på.
Come and see me when you have time.	Kom og besøg mig når du har tid.
We have less than two hours.	Vi har mindre end to timer.
What! This T-shirt is 3,000 yen? This is a rip-off!	Hvad? Koster denne T-shirt 3000 yen? Det er ågerpris!
How often do you take a shower?	Hvor tit tager du et brusebad?
Many of the soldiers kissed their spouses goodbye.	Mange af soldaterne kyssede deres ægtefælle farvel.
I do not understand her.	Jeg forstår hende ikke.
Tom was screaming.	Tom skreg.
"Where did you go?" "I went to the train station to see a friend off."	Hvor blev du af?" "Jeg tog hen til togstationen for at sige farvel til en ven."
Can you program in C?	Kan du programmere i C?
We could make potato salad.	Vi kunne lave kartoffelsalat.
I'm at the airport now.	Jeg er i lufthavnen nu.
There's our bus.	Der kommer vores bus!
He ran into debt.	Han kom i gæld.
It wasn't me who did that.	Det var ikke mig som gjorde det.
This telephone is out of order.	Denne telefon virker ikke.
People often say that Japanese is a difficult language.	Folk siger ofte at japansk er et vanskeligt sprog.
I have more books than I can read.	Jeg har flere bøger, end jeg kan læse.
Tom is the oldest person here, no question about it.	Tom er den ældste her, ingen tvivl om det.
I haven't yet bought you a Christmas present.	Jeg har endnu ikke købt en julegave til dig.
I'll soon register for a course in German.	Jeg vil snart melde mig til et kursus i tysk.
Deal with it.	Tag dig af det!
I miss the hustle and bustle of city life.	Jeg savner bylivets travlhed og larm.
Tom is the youngest child in his family.	Tom er det yngste barn i sin familie.
I am a great admirer of American culture.	Jeg er en stor beundrer af amerikansk kultur.
Northern lights appear all year round in Greenland.	Nordlys kan ses hele året rundt i Grønland.
Those apples are big.	De der æbler er store.
Your shoes are here.	Dine sko er her.
It gets on my nerves.	Det går mig på nerverne.
Tom and Mary are watching TV and eating potato chips.	Tom og Mary ser TV og spiser chips.
She was sunbathing at that time.	Hun tog solbad på det tidspunkt.
You don't have to answer this question.	Du behøver ikke svare på dette spørgsmål.
That's too late.	Det er for sent.
I lost track of time.	Jeg har mistet tidsfornemmelsen.
We never gave Tom a choice.	Vi gav aldrig Tom et valg.
Tom can bake really good apple pies.	Tom kan bage rigtig gode æblekager.
He is blind in one eye.	Han er blind på det ene øje.
Let's try something.	Lad os prøve noget.
We get it for free.	Vi får den gratis.
Birds lay eggs.	Fuglene lægger æg.
The box is heavy.	Kassen er tung.
This T-shirt is too small for me.	Denne T-shirt er for lille til mig.
Even my mom knows it.	Selv min mor ved det.
I was fat when I was younger.	Jeg var tyk da jeg var yngre.
Italy invaded Ethiopia in 1935.	Italien invaderede Etiopien i 1935.
As is often the case with him, he was late for class.	Som så mange gange før, kom han for sent til timen.
Tom needs some cash.	Tom har brug for nogle kontanter.
Tom drowned in Lake Superior three years ago.	Tom druknede i Lake Superior for tre år siden.
Do you have any cash?	Har du kontanter?
I have a sore throat.	Jeg har ondt i halsen.
Tom might've missed the last train.	Tom kan være kommet for sent til det sidste tog.
Cotton sucks up water.	Bomuld opsuger vand.
Tom didn't know why.	Tom vidste ikke hvorfor.
New York is one of the largest cities in the world.	New York er en af de største byer i verden.
Tom is really jealous and he gets mad when other guys talk to me.	Tom er virkelig jaloux, og han bliver sur, når andre fyre taler til mig.
They're tough guys.	De er nogle hårde fyre.
He did not come.	Han er ikke kommet.
I don't know any of you.	Jeg kender ingen af jer.
They worked like bees.	De arbejdede som bier.
This afternoon the weather is going to get worse.	I eftermiddag bliver vejret dårligere.
The elevator stopped on the second floor.	Elevatoren standsede på anden sal.
That is the picture that he painted.	Det er billedet han malede.
I'm a bit hungry.	Jeg er en smule sulten.
Open the doors.	Åbn dørene.
Tom'll call.	Tom vil ringe.
Mary isn't really sick. She's just faking it.	Mary er i virkeligheden ikke syg. Hun faker bare.
We all agree with you.	Vi er alle enige med dig.
Why didn't he come?	Hvorfor kom han ikke?
I want you to read this English letter.	Jeg vil gerne have at du læser dette engelske brev.
You're cruel.	Du er grusom.
There are no flowers growing on Mars.	Der vokser ingen blomster på Mars.
Tom was almost blind.	Tom var næsten blind.
I am reading a book now.	Jeg sidder lige nu og læser en bog.
We had a pleasant evening.	Vi havde en behagelig aften.
The students are in the classroom.	Eleverne er i klasseværelset.
This grass is too wet to sit on.	Græsset er for fugtigt til at man kan sidde på det.
Where's your granddaughter?	Hvor er dit barnebarn?
How many suicides do you think there are every year in Japan?	Hvor mange selvmord tror du der sker hvert år i Japan?
Is this your phone?	Er det jeres telefon?
I didn't understand a single word Tom said.	Jeg forstod ikke et eneste ord af det Tom sagde.
Why haven't you gone to the police?	Hvorfor er I ikke gået til politiet?
At that time, I was still awake.	På det tidspunkt var jeg stadig vågen.
They're friends.	De er venner.
He has a car that has four doors.	Han har en bil der har fire døre.
He committed suicide by hanging himself.	Han begik selvmord ved at hænge sig.
I came home empty handed.	Jeg kom tomhændet hjem.
That is very expensive!	Det er meget dyrt!
The doctor said, "There's nothing worse for your health than tobacco."	Lægen sagde: "Der er ikke noget der er værre for dit helbred end tobak."
Am I not right?	Har jeg ikke ret?
Tom will be here in no time.	Tom vil være her i løbet af ingen tid.
I only saw one apple.	Jeg så kun ét æble.
Tom must've changed it.	Tom må have ændret den.
Tom has blue eyes.	Tom har blå øjne.
I need something to write with.	Jeg har brug for noget at skrive med.
Tom and Mary plan to be together for the rest of their lives.	Tom og Mary har i sinde at blive sammen resten af livet.
When we landed, we saw our friend on the pier.	Da vi lagde til, så vi vores ven på molen.
I want you to turn off the radio.	Jeg vil gerne have at du slukker for radioen.
She has gone abroad.	Hun er taget til udlandet.
Tom was shocked by what he saw.	Tom var chokeret over det, han så.
I'm sorry for the delay in responding.	Jeg er ked af det sene svar.
My brother is living in Boston.	Min bror bor i Boston.
I have been busy.	Jeg har haft travlt.
I've invited all my friends.	Jeg har inviteret alle mine venner.
Today is Thursday.	I dag er det torsdag.
Can you give an exact report of what happened?	Kan du fortælle præcist hvad der skete?
It's extremely expensive.	Den er ekstrem dyr.
Is it October already?	Er det allerede oktober?
Tom lives downtown.	Tom bor i bymidten.
She speaks English and German.	Hun taler engelsk og tysk.
She received the electricity bill today.	Hun modtog elregningen i dag.
Tom cries a lot.	Tom græder meget.
I can wait no longer.	Jeg kan ikke vente længere.
I'm reading a book.	Jeg er ved at læse en bog.
Were you tired?	Var du træt?
There are too many of them.	Der er for mange af dem.
Do you know how to treat a first-degree burn?	Ved du hvordan man behandler en førstegradsbrænding?
Students may not enter the teachers' room.	Elever har ikke adgang til lærerværelset.
The car crashed into the wall.	Bilen kørte ind i muren.
It is dark outside.	Det er mørkt udenfor.
I have two books.	Jeg har to bøger.
My father quit smoking.	Min far er holdt op med at ryge.
Open the bottle.	Åbn flasken.
Why are you crying?	Hvorfor græder du?
I play tennis.	Jeg spiller tennis.
Write to me.	Skriv til mig!
Mary is a professional pole dancer.	Mary er professionel poledancer.
I have no idea if it'll work or not.	Jeg aner ikke om det vil fungere eller ej.
He found the door closed.	Han fandt døren lukket.
Is this your book?	Er dette din bog?
Tom stood in the corner by himself.	Tom stod alene i hjørnet.
Take cover!	Gå i dækning!
The rain stopped.	Det holdt op med at regne.
You're homesick, aren't you?	Du har hjemve, har du ikke?
Is your car new?	Er din bil ny?
You used to tell me everything.	Du plejede at fortælle mig alt.
Tom's not home yet.	Tom er endnu ikke kommet hjem.
Tom has made an interesting discovery.	Tom har lavet en interessant opdagelse.
You could hear the desperation in Mary's voice.	Man kunne høre desperationen i Marys stemme.
A beer, please.	En øl, tak!
Can you send that by email?	Kan du e-maile det?
Extremists kidnapped the president's wife.	Ekstremister har kidnappet præsidentens kone.
This just barely covers our living expenses.	Dette dækker med nød og næppe vores leveomkostninger.
This smartphone uses an ARM processor.	Denne smartphone har en ARM-processor.
That looks good on you.	Den klæder dig godt.
I really think you'd like Tom.	Jeg tror virkelig at du ville kunne lide Tom.
He explained the literal meaning of the sentence.	Han forklarede sætningens bogstavelige betydning.
He didn't look like a clever boy.	Han lignede ikke en klog dreng.
Tom is always working.	Tom arbejder altid.
Tom's hands are tied behind his back.	Toms hænder er bundet bag ryggen.
You can't wear that.	Du kan ikke have det på.
Life would be empty without Tom.	Livet ville være tomt uden Tom.
This bag is 4 kilograms overweight.	Denne kuffert har en overvægt på fire kilogram.
It is important for me.	Det er vigtigt for mig.
Tom said Mary is shy.	Tom har sagt at Mary er genert.
Tom waited for thirty minutes.	Tom ventede i tredive minutter.
How many moons does Mars have?	Hvor mange måner har Mars?
A friend of mine asked me to send him a postcard.	En af mine venner bad mig sende ham et postkort.
Those books are mine.	De bøger er mine.
I love these gadgets.	Jeg elsker disse gadgets.
I am not sure.	Jeg er ikke sikker.
Who are you?	Hvem er du?
I made him open the door.	Jeg fik ham til at åbne døren.
The cough syrup that Tom recommended worked well.	Hostesaften som Tom anbefalede, virkede godt.
Please wash your hands.	Vask hænderne.
Tom says that he only eats organic food.	Tom siger at han kun spiser økologisk mad.
She's gonna kill me.	Hun vil slå mig ihjel.
Are we all here?	Er vi alle her?
You are naughty.	Du er uartig.
Tom cut himself on some broken glass.	Tom skar sig på nogle glasskår.
Do you have any change?	Har du småpenge?
Everything changes after a war.	Alt ændrer sig efter en krig.
Don't raise your voice.	Hæv ikke stemmen.
His nose bled.	Hans næse blødte.
Someone told me you left your husband.	Nogen har fortalt mig at du har forladt din mand.
Is eating organic food worth what it costs?	Er at spise økologisk pengene værd?
You know that I don't like eggs.	Du ved jeg ikke kan lide æg.
His secretary flatly denied leaking any confidential information.	Hans sekretær nægtede blankt at have lækket fortrolige oplysninger.
It will be dark soon.	Det er snart mørkt.
Don't you want to know what it means?	Vil du ikke vide hvad det betyder?
It is said that Friday the 13th is an unlucky day.	Det siges, at fredag ​​den 13. er en uheldsdag.
Tom and Mary miss John.	Tom og Mary savner John.
Tom is proud of his daughter.	Tom er stolt af sin datter.
If you are hungry, you can eat the bread.	Hvis du er sulten, så kan du spise brødet.
What time is our train arriving at Hakata?	Hvad tid ankommer vores tog til Hakata?
Will you still be here when I come back?	Vil du stadig være her når jeg kommer tilbage?
Don't use the iron, electric kettle, and electric stove at the same time.	Brug ikke strygejernet, elkedlen og det elektriske komfur samtidig.
Is there a museum in this town?	Er der et museum i denne by?
I haven't paid this month's rent yet.	Jeg har ikke betalt denne måneds husleje endnu.
Anyone can do it.	Alle kan gøre det.
If I have the chance, I'll definitely travel to Beijing.	Hvis jeg havde muligheden så ville jeg ganske bestemt rejse til Beijing.
Trees give off oxygen and absorb carbon dioxide.	Træer afgiver oxygen og absorberer karbondioxid.
They were both drunk.	De var begge fulde.
He lives in luxury.	Han lever i luksus.
Summer is coming to an end.	Sommeren lakker mod enden.
Christmas is only two weeks off.	Der er kun to uger til jul.
Next time, ask me before you use my car.	Næste gang må du godt spørge mig først før du bruger min bil.
Does Tom still have a fever?	Har Tom stadig feber?
Tom was speaking to Mary.	Tom snakkede med Mary.
Tom isn't answering.	Tom svarer ikke.
I'm trying to find the person who owns this guitar.	Jeg forsøger at finde personen der ejer denne guitar.
I've talked with Tom about that already.	Jeg har allerede talt med Tom om det.
How did you come up with that idea?	Hvordan er du kommet på den idé?
I'll write you a letter.	Jeg vil skrive et brev til dig.
I'd like you to go away.	Jeg vil gerne have, at du går væk.
Where is the Danish embassy?	Hvor ligger den danske ambassade?
Registration starts October 20th.	Tilmelding starter 20. oktober.
We're cousins.	Vi er søskendebørn.
He did not listen.	Han lyttede ikke.
The house went cheap.	Huset blev solgt billigt.
I'll call him.	Jeg vil ringe til ham.
What kind of person is Tom?	Hvad slags menneske er Tom?
We're sure it wasn't an accident.	Vi er sikker på at det ikke var en ulykke.
Walls have ears.	Vægge har ører.
The weather today is worse than yesterday.	Vejret er i dag dårligere end i går.
It was very difficult to swim against the current.	Det var meget vanskeligt at svømme mod strømmen.
The only fingerprints that the police found on the doorknob were Tom's.	De eneste fingeraftryk politiet fandt på dørhåndtaget, var Toms.
It rained yesterday.	I går regnede det.
I've been to Australia three times.	Jeg har været i Australien tre gange.
Do you remember me?	Kan du huske mig?
Attack!	Angrib!
This is the strangest thing I've ever done.	Det her er det mærkeligste jeg nogensinde har gjort.
Please translate this into French.	Oversæt venligst dette til fransk.
Tom is counting on you, isn't he?	Tom regner med dig, ikke sandt?
Don't deny it.	Benægt det ikke.
How well did you know Tom?	Hvor godt kendte du Tom?
All in all, this was a nice party.	Alt i alt så var det en hyggelig fest.
Tom would've been proud of you.	Tom ville have været stolt af dig.
What did you expect?	Hvad havde du forventet?
You can't live on potato chips.	Man kan ikke leve af chips.
I haven't gotten around to doing that yet.	Jeg har ikke nået det endnu.
You can count on me.	I kan regne med mig.
I like cats very much.	Jeg holder meget af katte.
I don't mind sleeping on the floor.	Jeg har ikke noget imod at sove på gulvet.
We'll wait for you there.	Vi vil vente på dig der.
Don't forget your passports.	Glem ikke dine pas.
A carrot is a healthy snack.	En gulerod er en sund snack.
Please pass me the salt and pepper.	Rækker du mig saltet og peberet?
The kitten rolled the yarn across the floor.	Killingen rullede garnet hen over gulvet.
You don't need to reinvent the wheel.	Du behøver ikke genopfinde hjulet.
I said I'd buy you a drink, so here.	Jeg sagde at jeg ville købe en drink til dig, så værsgo.
I didn't pay attention to him.	Jeg lagde ikke mærke til ham.
Tom suffers from osteoporosis.	Tom lider af knogleskørhed.
He offered his help to us.	Han tilbød os sin hjælp.
I didn't tell Tom that Mary was here.	Jeg fortalte ikke Tom at Mary var her.
I'm in seventh heaven.	Jeg er i den syvende himmel.
Tom is working on the problem.	Tom arbejder på problemet.
This skirt is a little too tight.	Den her nederdel er lidt for stram.
I am bored.	Jeg keder mig.
We're not the only ones here who know Tom.	Vi er ikke de eneste her, som kender Tom.
Tom and Mary hated each other.	Tom og Mary hadede hinanden.
The peace treaty will be signed tomorrow.	Fredstraktaten bliver underskrevet i morgen.
Your driver's license has expired.	Dit kørekort er udløbet.
Tom isn't sleeping.	Tom sover ikke.
Ask Tom to explain it.	Bed Tom om at forklare det.
I usually get up at about six-thirty.	Jeg står normalt op cirka halv syv.
He used to drink beer.	Han plejede at drikke øl.
I love that picture.	Jeg elsker det billede.
Tom was big.	Tom var stor.
How often do you wash the dishes?	Hvor tit vasker du op?
It's almost six o'clock.	Klokken er næsten seks.
I love spicy food.	Jeg elsker krydret mad.
We have to operate immediately.	Vi må operere med det samme.
Tom hopes to see you in October.	Tom håber at se dig i oktober.
She put away her clothes.	Hun lagde sit tøj væk.
That's not enough.	Det er ikke nok.
I live in a remote area.	Jeg bor afsides.
I figured I might find you here.	Jeg regnede med at jeg måske kunne finde dig her.
Tom is old school.	Tom er af den gamle skole.
You're skating on very thin ice.	Du er på meget tynd is.
Can you drive a car?	Kan du køre bil?
Her way of speaking irritates us.	Hendes måde at snakke på irriterer os.
The fuse is blown.	Sikringen er sprunget.
What does the cat want?	Hvad ønsker katten?
You shouldn't eat here.	Du burde ikke spise her.
It's been ten years since I last saw her.	Det er ti år siden jeg sidst så hende.
It's over.	Det er overstået.
What inspired you to write this song?	Hvad inspirerede dig til at skrive denne sang?
He went ballistic.	Han flippede helt ud.
I went to the doctor.	Jeg tog til lægen.
Please have a seat.	Værsgo at tage plads.
Aside from that, is there anything else you want?	Bortset fra det, er der ellers andet du ønsker?
He loves you.	Han elsker dig.
I don't love her anymore.	Jeg elsker hende ikke længere.
The crowd was mostly women and children.	Publikum var hovedsageligt kvinder og børn.
She is close to sixty.	Hun er tæt på de tres.
I'm fed up with math.	Jeg er træt af matematik.
Tom drinks a lot.	Tom drikker meget.
How dare you!	Hvor vover du!
You could start your own company.	Du kunne starte dit eget firma.
I have a boss who's much younger than me.	Jeg har en chef der er meget yngre end mig.
I don't know why he's crying.	Jeg ved ikke hvorfor han græder.
Your house is fantastic.	Dit hus er fantastisk.
My father quit smoking.	Far er holdt op med at ryge.
The United States is abundant in natural resources.	USA er rigt på naturressourcer.
It's not funny.	Det er ikke sjovt.
She has gone shopping.	Hun er gået ud for at handle ind.
Please send us more information.	Vær så venlig at sende os flere oplysninger.
I forbid you to smoke.	Jeg forbyder dig at ryge!
Get lost!	Forsvind!
It's against the rules.	Det er imod reglerne.
My dog ate my homework.	Min hund har spist mine lektier.
Spring will be here before long.	Foråret vil være her inden længe.
Tom taught himself how to ski.	Tom lærte sig selv at stå på ski.
Man is the only animal that can laugh.	Mennesket er det eneste dyr der kan le.
They tried to cheer me up.	De prøvede at muntre mig op.
I never said yes.	Jeg sagde aldrig ja.
Perfect!	Perfekt!
Stop!	Stop!
The library is to the left.	Biblioteket ligger til venstre.
I wish I'd kept up my French.	Jeg ville ønske at jeg havde holdt mit franske ved lige.
Tom bought a very cheap camera.	Tom købte et meget billigt fotoapparat.
Tom missed the last train and spent the night at an Internet cafe.	Tom nåede ikke det sidste tog og tilbragte natten på en internetcafé.
Tom is a wimp.	Tom er en vatnisse.
He hid himself behind a large rock.	Han gemte sig bag en stor sten.
Someone stole my cash.	Nogen stjal mine kontanter.
I have a large library on American literature.	Jeg har et bibliotek med amerikansk litteratur.
I don't like being made a fool of.	Jeg bryder mig ikke om at blive gjort til grin.
You're naive.	Du er naiv.
Are you allergic to this medicine?	Er du overfølsom over for dette medikament?
Gas is cheap now.	Benzin er billig nu.
I can scarcely sleep at night.	Jeg kan næsten ikke sove om natten.
She took a sip of her drink.	Hun tog en slurk af sin drink.
She put her knitting aside and stood up.	Hun lagde sit strikketøj til side og rejste sig.
Greece is an old country.	Grækenland er et gammelt land.
I didn't drink too much.	Jeg drak ikke for meget.
Tom turned himself in.	Tom meldte sig selv.
I hate interviews.	Jeg hader jobsamtaler.
Let's go get a Christmas tree.	Lad os få fat i et juletræ.
I haven't read either of his novels.	Jeg har ikke læst nogen af hans to romaner.
Our school begins at eight.	Vores skole begynder klokken otte.
She was too tired to keep on working.	Hun var for træt til at fortsætte med at arbejde.
Tom told the police everything.	Tom fortalte politiet alt.
His laptop is already five years old.	Hans laptop er allerede fem år gammel.
Tom is a real estate agent.	Tom er ejendomsmægler.
I've had enough of your questions.	Jeg har fået nok af dine spørgsmål.
Sport is good for your health.	Sport er godt for dit helbred.
He pretended to be a doctor.	Han foregav at være læge.
What's in the bag?	Hvad er der i posen?
Where's the toilet?	Hvor er wc'et?
They borrow books from the teachers' library.	De låner bøger fra lærernes bibliotek.
Tom's phone started ringing.	Toms telefon begyndte at ringe.
Use this.	Anvend det her.
Don't let the dog sleep in our bed.	Lad ikke hunden sove i vores seng.
Tom's cup is empty.	Toms kop er tom.
I would like an air-conditioned room.	Jeg vil gerne have et værelse med aircondition.
She sat on a hard chair.	Hun sad på en hård stol.
The DNA test cleared him of all charges.	Gentesten frikendte ham for alle anklager.
His work is below average.	Hans arbejde ligger under gennemsnittet.
Actinium vaporizes at 3,198°C.	Actinium fordamper ved 3198 °C.
He's a filthy liar.	Han er en beskidt løgner.
It began to rain.	Det begyndte at regne.
Have you ever heard of Nessie?	Har du nogensinde hørt om Nessie?
"How far is it from here to the station?" "It is about two miles."	"Hvor langt er der herfra til stationen?" "Omtrent 2 miles."
You're very beautiful.	I er meget smukke.
Rambo doesn't exist.	Rambo eksisterer ikke.
What time is it by your watch?	Hvad er klokken på dit ur?
Here's my luggage.	Her er min bagage.
Spring is here.	Foråret er her.
We don't like the rain.	Vi bryder os ikke om regnen.
The monkeys are grooming each other.	Aberne afluser hinanden.
What is he doing now?	Hvad laver han nu?
You won't believe what happened to me today.	I vil ikke tro hvad der er hændt mig i dag.
Have you ever thought about quitting your job?	Har du nogensinde overvejet at sige op?
You've got a lot of willpower.	Du har godt med viljestyrke.
I am looking forward to hearing from you.	Jeg glæder mig til at høre fra dig.
Tom would be a good teacher.	Tom ville være en god lærer.
I'm not Canadian.	Jeg er ikke canadisk.
I did not know this.	Det vidste jeg ikke.
I thought I understood you.	Jeg troede at jeg forstod dig.
My throat hurts.	Jeg har ondt i halsen.
Tom's oldest son looks just like him.	Toms ældste søn ligner ham.
Tom blushed when he saw Mary naked.	Tom rødmede da han så Mary nøgen.
I have bad news.	Jeg har en dårlig nyhed.
This is the first time I've ever put out a fire with sand.	Dette er første gang nogensinde jeg har slukket en brand med sand.
It is too expensive.	Det er for dyrt!
There are three men in the next room waiting for you.	Der er tre mænd i værelset ved siden af, der venter på dig.
I just wanted to say that I love you.	Jeg ville bare sige at jeg elsker dig.
Tom is unscrupulous.	Tom er hensynsløs.
It rained hard all day.	Det regnede kraftigt hele dagen.
Use this.	Anvend dette.
I was born on October 10, 1972.	Jeg blev født den 10. oktober 1972.
Tell me your problems.	Fortæl mig om dine problemer.
I have about 5,000 yen.	Jeg har cirka 5.000 yen.
I wonder if Tom misses me.	Jeg kunne godt lide at vide om Tom savner mig.
I will be there tomorrow.	Jeg vil være der i morgen.
Tom's house is only three blocks away from here.	Toms hus ligger kun tre husblokke herfra.
Do you like this backpack?	Kan du lide denne rygsæk?
We can't just give up.	Vi kan ikke bare give op.
The dog barks at all strangers.	Hunden gør ad alle fremmede.
It's not a skirt. It's a kilt.	Det er ikke en nederdel. Det er en kilt.
I have the same number of books as Tom has.	Jeg har lige så mange bøger som Tom.
There seems to be something peculiar about the boy.	Det er som om der er noget mærkeligt med den dreng.
Isn't it about time you two got married?	Er det ikke på tide at I to blev gift?
He has a good chance of being elected.	Han har en god chance for at blive valgt.
Show me the money.	Vis mig pengene.
You have no fever.	Du har ikke feber.
Tom's comments ruffled a few feathers.	Toms kommentarer skabte en del irritation.
He has brown hair.	Han har brunt hår.
Why worry about it?	Hvorfor bekymre sig om det?
Tom and Mary won't visit Boston.	Tom og Mary kommer ikke til at besøge Boston.
I will ask him tomorrow.	Jeg spørger ham i morgen.
We have a lot of ground to cover.	Vi har meget, vi skal igennem.
I'm not sure if this is correct.	Jeg er ikke sikker på om det her er korrekt.
Let me do it.	Lad mig!
This is the biggest hotel in this city.	Dette er det største hotel i denne by.
Tom cooked the books.	Tom pyntede på regnskabet.
Where have you been all night?	Hvor har du været hele natten?
I'm sorry I yelled at you.	Undskyld jeg råbte ad dig.
She made me a cake.	Hun bagte mig en kage.
Who'll get there the quickest?	Hvem kommer hurtigst derhen?
They adopted the little girl.	De adopterede den lille pige.
Maybe someone here knows where Tom lives.	Måske ved nogen her, hvor Tom bor.
This article is of no value.	Denne artikel er uden værdi.
Tom is planning to get up early tomorrow.	Tom planlægger at stå tidligt op i morgen.
I would act differently in your place.	Jeg ville handle anderledes i dit sted.
Did you understand what he said?	Har du forstået hvad han sagde?
What inspired you to write this song?	Hvad har inspireret dig til at skrive denne sang?
Tom's wife is pregnant with their second child.	Toms kone er gravid med deres andet barn.
Africa is not a country.	Afrika er ikke et land.
Tom went to the airport to see Mary off.	Tom tog til lufthavnen for at sige farvel til Mary.
You must be crazy.	Du må ikke være rigtig klog.
Can you speak French?	Kan du tale fransk?
Tom blushed like a schoolgirl.	Tom rødmede som en skolepige.
Your French accent is terrible.	Din franske accent er forfærdelig.
I have seen "Star Wars" twice.	Jeg har set "Star Wars" to gange.
He puts his own interests above everything else.	Han sætter sine egne interesser over alt andet.
That's very helpful.	Det er meget nyttigt.
In many restaurants in Turkey, kebab is the main entree.	I mange restauranter i Tyrkiet er kebab hovedretten.
Tom and I had a long discussion about that.	Tom og jeg havde en lang diskussion om det.
I'll see you Saturday.	Jeg ser dig på lørdag.
You're the problem, Tom.	Du er problemet, Tom.
I have to say I envy you.	Jeg må sige at jeg misunder jer.
Are you able to solve it?	Er du i stand til at løse det?
I like sugar.	Jeg elsker sukker.
You look like a cop.	Du ligner en betjent.
I've lived here for thirty years.	Jeg har boet her i tredive år.
Tom asked Mary to help decorate his Christmas tree.	Tom bad Mary om at hjælpe med at pynte hans juletræ.
People have a tendency to underestimate their future needs.	Folk har en tendens til at undervurdere deres fremtidige behov.
Tom lives only an hour away.	Tom bor kun en time væk.
I believe you can help us.	Jeg tror du kan hjælpe os.
He is a very important person.	Han er en vip.
I ordered half a dozen books on chemistry from New York.	Jeg bestilte et halvt dusin kemibøger fra New York.
